lc01,lc02,lc03,lc04,lc05,lc06,lc07,lc08,lc09,lc10,lc11,lc12,prec,tmin,tmax,soil01,soil02,soil03,soil04,soil05,soil06,soil07,soil08,soil09,soil10,hydro01,hydro02,hydro03,hydro04,hydro05,hydro06,hydro07,hydro08,hydro09,hydro10,hydro11,hydro12,hydro13,hydro14,hydro15,hydro16,hydro17,hydro18,hydro19,dem,slope,order,bcmean
34,0,4,28,0,3,27,0,3,0,0,0,423831.0,21.0,124.0,60,54,38,43,18,9,21,1224,240,5,106,114,44,5144,261,2,259,48,173,174,44,3807768,654165,49297,66,1844870,246253,1844870,246253,216,270,4,0.704616904084247
27,1,2,29,0,2,16,0,21,0,0,0,2701.0,27.0,128.0,39,54,46,38,16,9,16,1337,240,6,112,110,42,5386,266,4,262,50,182,182,46,25979,4286,404,59,12138,2065,12138,2065,159,309,1,0.360642421794379
26,2,0,10,0,0,3,0,58,0,0,0,5282.0,28.0,129.0,37,58,46,39,15,7,19,1359,240,4,112,111,42,5386,268,5,263,51,183,183,47,51173,8492,800,60,23975,4099,23975,4099,113,145,1,0.230605271718876
27,1,2,29,0,2,16,0,21,0,0,0,2701.0,27.0,128.0,39,54,46,38,16,9,16,1337,240,6,112,110,42,5386,266,4,262,50,182,182,46,25979,4286,404,59,12138,2065,12138,2065,159,309,1,0.401222583284824
26,2,0,10,0,0,3,0,58,0,0,0,5282.0,28.0,129.0,37,58,46,39,15,7,19,1359,240,4,112,111,42,5386,268,5,263,51,183,183,47,51173,8492,800,60,23975,4099,23975,4099,113,145,1,0.560395557294317
29,1,0,10,0,0,5,0,55,0,0,0,8130.0,28.0,130.0,38,59,44,40,16,7,21,1357,240,4,113,111,42,5386,268,5,263,51,183,183,47,78711,13104,1228,60,36955,6275,36955,6275,112,154,1,0.249900532952805
29,1,0,8,0,0,3,0,59,0,0,0,17888.0,29.0,130.0,38,58,44,41,16,7,20,1349,240,4,113,110,42,5385,268,6,262,52,184,184,48,173874,28741,2742,59,81274,13989,81274,13989,109,152,2,0.286304141603443
30,1,0,8,0,0,5,0,56,0,0,0,21482.0,29.0,130.0,38,59,43,41,16,7,21,1352,240,4,113,110,42,5385,268,6,262,52,184,184,48,208974,34580,3296,59,97736,16807,97736,16807,104,147,2,0.229665259101302
38,0,0,7,0,0,1,0,54,0,0,0,5715.0,29.0,129.0,44,55,44,40,16,9,19,1318,240,7,113,109,41,5394,267,6,261,52,184,184,48,55554,9060,883,58,25756,4502,25756,4502,136,211,1,0.421918737301595
30,1,0,8,0,0,5,0,56,0,0,0,23299.0,29.0,130.0,37,59,43,41,16,7,21,1353,240,4,113,110,42,5388,268,6,262,52,184,184,48,226756,37519,3576,59,106040,18246,106040,18246,102,146,2,-0.0849914892207119
